customers_org,product,relevancy_score
A10001,5650743,0.646915508
A10001,5649965,0.608652774
A10001,5649679,0.587335639
A10001,5650455,0.581182403
A10001,5650704,0.5461014
A10001,5650562,0.526961185
A10001,5650706,0.522248344
A10001,5650578,0.490412217
A10002,5650568,0.8893212309999999
A10002,5650486,0.6429285
A10002,5650743,0.637826398
A10002,5650580,0.6210124029999999
A10002,5650475,0.612543984
A10002,5650644,0.6050616870000001
A10002,5650640,0.5883023079999999
A10002,5649648,0.580287113
A10003,5650568,0.7807116190000001
A10003,5649701,0.58216128
A10003,5649630,0.541927766
A10003,5650542,0.483276044
A10003,5649963,0.480785595
A10003,5649878,0.469981376
A10003,5650704,0.464668959
A10003,5650672,0.450918703
A10004,5650570,0.591419903
A10004,5650644,0.567839457
A10004,5650752,0.565228591
A10004,5649630,0.555504888
A10004,5650656,0.55331833
A10004,5650704,0.529978543
A10004,5649815,0.527523815
A10004,5649681,0.514907871
A10005,5650752,0.535132108
A10005,5650462,0.48155004
A10005,5650640,0.476742249
A10005,5650672,0.474246106
A10005,5649815,0.472713156
A10005,5649963,0.470495873
A10005,5650656,0.469389949
A10005,5650516,0.45192112
A10006,5650568,0.827889276
A10006,5649919,0.658395092
A10006,5650752,0.520921736
A10006,5649963,0.508827358
A10006,5650462,0.497875355
A10006,5650656,0.497162605
A10006,5650570,0.496112348
A10006,5649878,0.465588576
A10007,5650542,0.499993686
A10007,5650743,0.477641539
A10007,5650578,0.424365115
A10007,5649607,0.408228181
A10007,5649903,0.391112894
A10007,5649857,0.376924135
A10007,5649897,0.374175387
A10007,5650644,0.368658642
A10008,5650743,0.5340997820000001
A10008,5649950,0.521021796
A10008,5650542,0.516985664
A10008,5650506,0.511475024
A10008,5649963,0.493747165
A10008,5650057,0.478448597
A10008,5650578,0.453139635
A10008,5650746,0.44130163
A10009,5650568,0.7310613579999999
A10009,5649963,0.524000895
A10009,5650752,0.520466468
A10009,5649701,0.509252426
A10009,5650544,0.458116414
A10009,5650644,0.455619949
A10009,5650706,0.431750332
A10009,5649950,0.4173144
A10010,5649815,0.614826047
A10010,5650506,0.534495528
A10010,5650644,0.533612505
A10010,5650542,0.5332509320000001
A10010,5649950,0.517849703
A10010,5649931,0.448100735
A10010,5649903,0.43461243
A10010,5650489,0.430588331
A10011,5650752,0.504097461
A10011,5650692,0.474674124
A10011,5649963,0.473235949
A10011,5650656,0.461701572
A10011,5650570,0.4559350270000001
A10011,5649653,0.417120499
A10011,5650445,0.385547609
A10011,5650516,0.384377547
A10012,5649701,0.46341379
A10012,5650455,0.4409790770000001
A10012,5650496,0.392905897
A10012,5650518,0.3874183
A10012,5649648,0.384862956
A10012,5650462,0.381837594
A10012,5650580,0.375079292
A10012,5650486,0.366137001
A10013,5650692,0.650849418
A10013,5650743,0.612212961
A10013,5650646,0.610673381
A10013,5650570,0.49684303
A10013,5650462,0.475092153
A10013,5650752,0.466188882
A10013,5650506,0.465886685
A10013,5650704,0.436679212
A10014,5650646,0.6387838370000001
A10014,5650743,0.612999428
A10014,5650752,0.5110797460000001
A10014,5649963,0.488006292
A10014,5650506,0.485543794
A10014,5650640,0.484272796
A10014,5650659,0.455501109
A10014,5650706,0.4515952070000001
A10015,5650542,0.50817086
A10015,5650743,0.468254
A10015,5650462,0.426499189
A10015,5650704,0.418517377
A10015,5649878,0.401976986
A10015,5650672,0.398829309
A10015,5650512,0.396651836
A10015,5649963,0.394029696
A10016,5649950,0.442053897
A10016,5650506,0.433729378
A10016,5650562,0.407057944
A10016,5650558,0.391343244
A10016,5650486,0.390403707
A10016,5650580,0.371871946
A10016,5649681,0.370468993
A10016,5649659,0.368869074
A10017,5649659,0.591072523
A10017,5650494,0.564350417
A10017,5650743,0.5423906270000001
A10017,5650512,0.516668893
A10017,5649653,0.482506984
A10017,5650542,0.462734627
A10017,5650506,0.439826656
A10017,5650570,0.425449282
A10018,5649653,0.5898170629999999
A10018,5650542,0.5394154999999999
A10018,5650644,0.511201945
A10018,5649963,0.509484266
A10018,5650570,0.489720408
A10018,5650462,0.48819514
A10018,5649659,0.471954143
A10018,5650475,0.436288052
A10019,5650568,0.769722757
A10019,5650542,0.533630029
A10019,5649903,0.525822549
A10019,5650706,0.483466849
A10019,5650462,0.445714991
A10019,5649659,0.425079998
A10019,5650704,0.41088198
A10019,5650570,0.374583603
A10020,5650406,0.7331638009999999
A10020,5650568,0.6850906809999999
A10020,5650777,0.595477531
A10020,5650570,0.5209158939999999
A10020,5650752,0.486891488
A10020,5650644,0.467426937
A10020,5650656,0.458840116
A10020,5649847,0.43158625
A10021,5649653,0.656727823
A10021,5650516,0.606492853
A10021,5650518,0.5753017189999999
A10021,5650704,0.55554636
A10021,5650486,0.546179207
A10021,5650542,0.52665119
A10021,5650644,0.523423779
A10021,5650462,0.516126416
A10022,5650743,0.412473781
A10022,5650506,0.411441426
A10022,5650644,0.41078852
A10022,5650529,0.404936984
A10022,5650544,0.393733983
A10022,5650562,0.373847284
A10022,5649836,0.358438403
A10022,5650672,0.357833044
A10023,5650570,0.51483655
A10023,5650743,0.502140231
A10023,5650475,0.450997997
A10023,5649648,0.436821885
A10023,5650752,0.434993133
A10023,5650544,0.433362313
A10023,5649950,0.42883943
A10023,5650704,0.417622817
A10024,5650568,0.585001824
A10024,5649965,0.461434685
A10024,5650455,0.44544901
A10024,5650752,0.413386768
A10024,5649648,0.400976029
A10024,5649963,0.367918176
A10024,5650704,0.35919578
A10024,5650486,0.347496125
A10025,5649815,0.464593723
A10025,5649653,0.445771213
A10025,5649701,0.4402243870000001
A10025,5650752,0.439453837
A10025,5650462,0.4353804670000001
A10025,5650492,0.434835361
A10025,5649950,0.420833639
A10025,5650486,0.417442352
A10026,5650743,0.539445525
A10026,5650752,0.509371764
A10026,5649815,0.461474055
